     TotalZoneNumber           NParticle        CumulativeNP     CumulativeRatio
                 186              100000        6.610262e+06        6.610262e+01
                 187              100000        6.623522e+06        6.623522e+01
                 188              100000        6.636729e+06        6.636729e+01
                 189              100000        6.649883e+06        6.649883e+01
                 190              100000        6.662985e+06        6.662985e+01
                 191              100000        6.676035e+06        6.676035e+01
                 192              100000        6.689035e+06        6.689035e+01
                 193              100000        6.701983e+06        6.701983e+01
                 194              100000        6.714881e+06        6.714881e+01
                 195              100000        6.727729e+06        6.727729e+01
                 196              100000        6.740528e+06        6.740528e+01
                 197              100000        6.753278e+06        6.753278e+01
                 198              100000        6.765979e+06        6.765979e+01
                 199              100000        6.778632e+06        6.778632e+01
                 200              100000        6.791238e+06        6.791238e+01
                 201              100000        6.803796e+06        6.803796e+01
                 202              100000        6.816307e+06        6.816307e+01
                 203              100000        6.828772e+06        6.828772e+01
                 204              100000        6.841191e+06        6.841191e+01
                 205              100000        6.853564e+06        6.853564e+01
                 206              100000        6.865891e+06        6.865891e+01
                 207              100000        6.878174e+06        6.878174e+01
                 208              100000        6.890412e+06        6.890412e+01
                 209              100000        6.902607e+06        6.902607e+01
                 210              100000        6.914757e+06        6.914757e+01
                 211              100000        6.926864e+06        6.926864e+01
                 212              100000        6.938927e+06        6.938927e+01
                 213              100000        6.950948e+06        6.950948e+01
                 214              100000        6.962927e+06        6.962927e+01
                 215              100000        6.974864e+06        6.974864e+01
                 216              100000        6.986759e+06        6.986759e+01
                 217              100000        6.998612e+06        6.998612e+01
                 218              100000        7.010425e+06        7.010425e+01
                 219              100000        7.022197e+06        7.022197e+01
                 220              100000        7.033928e+06        7.033928e+01
                 221              100000        7.045619e+06        7.045619e+01
                 222              100000        7.057271e+06        7.057271e+01
                 223              100000        7.068883e+06        7.068883e+01
                 224              100000        7.080456e+06        7.080456e+01
                 225              100000        7.091990e+06        7.091990e+01
                 226              100000        7.103486e+06        7.103486e+01
                 227              100000        7.114943e+06        7.114943e+01
                 228              100000        7.126363e+06        7.126363e+01
                 229              100000        7.137745e+06        7.137745e+01
                 230              100000        7.149089e+06        7.149089e+01
                 231              100000        7.160397e+06        7.160397e+01
                 232              100000        7.171667e+06        7.171667e+01
                 233              100000        7.182901e+06        7.182901e+01
                 234              100000        7.194099e+06        7.194099e+01
                 235              100000        7.205261e+06        7.205261e+01
                 236              100000        7.216387e+06        7.216387e+01
                 237              100000        7.227478e+06        7.227478e+01
                 238              100000        7.238533e+06        7.238533e+01
                 239              100000        7.249554e+06        7.249554e+01
                 240              100000        7.260540e+06        7.260540e+01
                 241              100000        7.271491e+06        7.271491e+01
                 242              100000        7.282408e+06        7.282408e+01
                 243              100000        7.293292e+06        7.293292e+01
                 244              100000        7.304141e+06        7.304141e+01
                 245              100000        7.314957e+06        7.314957e+01
                 246              100000        7.325740e+06        7.325740e+01
                 247              100000        7.336490e+06        7.336490e+01
                 248              100000        7.347207e+06        7.347207e+01
                 249              100000        7.357892e+06        7.357892e+01
                 250              100000        7.368544e+06        7.368544e+01
                 251              100000        7.379165e+06        7.379165e+01
                 252              100000        7.389753e+06        7.389753e+01
                 253              100000        7.400310e+06        7.400310e+01
                 254              100000        7.410835e+06        7.410835e+01
                 255              100000        7.421329e+06        7.421329e+01
