              ZoneID              CeilID               Count       Ave_MinDist_x       Ave_MinDist_y       Ave_MinDist_z         Ave_MinDist   DevSqrt_MinDist_x   DevSqrt_MinDist_y   DevSqrt_MinDist_z     DevSqrt_MinDist
                   3               27613                   2        4.655290e+00        7.031769e+00        7.647000e+00        1.138394e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               27619                   3        6.309565e+00        6.249589e+00        3.536667e-01        1.203562e+01        3.812224e+00        8.338726e+00        2.342880e-01        4.273077e+00
                   3               27670                   2        1.139107e+01        7.985617e+00        1.801000e+00        1.463759e+01        4.987720e+00        7.601492e+00        4.730000e-01        8.086711e+00
                   3               27676                   5        6.540311e+00        5.062550e+00        7.623800e+00        1.295920e+01        1.963157e+00        5.756741e+00        3.572280e+00        2.888224e+00
                   3               27727                   3        5.508176e+00        2.844423e+00        8.889000e+00        1.301232e+01        2.845053e+00        1.862102e+00        9.545194e+00        7.127208e+00
                   3               27733                   3        6.456399e+00        7.028070e+00        7.120000e+00        1.323091e+01        2.271155e+00        3.139284e+00        4.320836e+00        6.317632e-01
                   3               27784                   2        6.477838e+00        2.290828e+00        2.737000e+00        7.425551e+00        1.979883e+00        9.705195e-01        2.480000e-01        2.118015e+00
                   3               27785                   2        5.703717e+00        3.744806e+00        4.553000e+00        8.345557e+00        1.205762e+00        2.424497e+00        2.064000e+00        3.038022e+00
                   3               27786                   1        3.723749e+00        1.694289e+01        2.501000e+00        1.752663e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               27787                   5        6.251878e+00        5.633499e+00        6.220000e+00        1.292714e+01        3.426876e+00        5.719266e+00        4.439733e+00        2.562131e+00
                   3               27788                   5        2.244929e+00        3.784870e+00        7.530800e+00        9.868450e+00        1.400536e+00        3.641364e+00        3.641242e+00        2.677924e+00
                   3               27789                   2        2.449752e+00        1.044881e+01        3.342000e+00        1.253424e+01        1.844499e+00        7.359563e+00        1.471000e+00        5.382382e+00
                   3               27790                   1        8.811494e+00        3.345140e+00        1.637800e+01        1.889633e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               30694                   1        3.158076e+00        1.487097e+01        1.701600e+01        2.281805e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               30697                   1        1.646002e+01        8.281241e+00        4.099000e+00        1.887625e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                   3               30748                   1        6.706020e+00        8.032496e+00        1.100000e-01        1.046441e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
